store_id,reward_points
US5052,41
US5055,29
US5060,608
US5069,1049
US5073,568
US5077,111
US5078,97
US5098,235
US5099,303
US5101,69
US5102,785
US5104,124
US5105,23
US5106,16
US5112,134
US5113,2
US5120,63
US5122,416
US5126,81
US5131,514
US5133,33
US5136,178
US5141,205
US5142,1
US5143,37
US5144,1086
US5146,95
US5150,24
US5159,17
US5164,8
US5165,352
US5168,147
US5170,19
US5171,178
US5178,1689
US5183,82
US5185,263
US5189,183
US5191,226
US5193,162
US5194,105
US5198,372
US5207,275
US5210,40
US5216,13165
US5218,798
US5219,207
US5222,103
US5228,19
US5229,23
US5230,548
US5233,1330
US5237,293
US5238,32
US5241,252
US5242,206
US5244,30
US5250,36
US5251,133
US5254,39
US5255,186
US5258,10
US5259,49
US5262,121
US5264,187
US5270,47
US5271,28
US5272,299
US5276,94
US5279,147
US5286,39
US5287,11
US5288,80
US5290,248
US5293,12
US5294,13
US5295,97
US5299,66
US5302,122
US5305,26
US5306,316
US5308,262
US5309,75
US5311,64
US5312,21
US5313,112
US5317,66
US5318,31
US5324,21
US5327,109
US5328,233
US5336,74
US5339,158
US5344,286
US5347,10
US5348,39
US5355,4
US5357,29
US5359,16
US5362,158
US5370,11
US5371,176
US5376,83
US5380,10
US5385,42
US5393,159
US5395,453
US5398,81
US5399,184
US5402,120
US5403,32
US5404,124
US5409,1234
US5413,1414
US5415,109
US5416,177
US5419,35
US5422,253
US5423,51
US5431,192
US5434,704
US5437,42
US5438,38
US5439,559
US5440,29
US5444,99
US5445,97
US5453,390
US5455,130
US5462,22
US5468,300
US5474,17
US5475,227
US5480,281
US5487,81
US5488,165
US5489,99
US5491,791
US5500,112
US5501,66
US5503,667
US5507,341
US5511,12
US5521,26
US5524,245
US5525,194
US5526,911
US5529,378
US5531,64
US5537,383
US5538,190
US5540,24
US5543,57
US5551,207
US5552,37
US5553,573
US5558,10
US5560,10
US5571,56
US5576,17
US5584,31
US5594,144
US5599,124
US5604,262
US5608,274
US5609,47
US5611,342
US5616,37
US5622,69
US5631,49
US5632,85
US5637,543
US5641,95
US5644,491
US5649,506
US5652,168
US5657,11
US5661,79
US5663,99
US5672,13
US5673,442
US5674,24
US5675,147
US5676,49
US5677,25
US5678,10
US5679,396
US5686,11
US5687,47
US5689,56
US5690,957
US5692,45
US5698,112
US5700,1147
US5701,270
US5708,10
US5711,49
US5714,68
US5722,15
US5724,189
US5727,114
US5732,10
US5733,830
US5736,10
US5749,435
US5752,256
US5754,37
US5757,23
US5761,42
US5764,24
US5765,26
US5768,44
US5769,359
US5774,87
US5779,310
US5781,509
US5785,89
US5789,856
US5790,52
US5792,1756
US5801,45
US5802,26410
US5804,76
US5806,83
US5808,12
US5817,84
US5827,555
US5831,14
US5832,16
US5833,138
US5842,65
US5845,25
US5848,342
US5849,240
US5850,713
US5859,42
US5865,41
US5868,10
US5869,96
US5874,268
US5875,120
US5879,11
US5883,20
US5884,15
US5889,258
US5897,111
US5898,210
US5902,250
US5903,10
US5905,69
US5906,76
US5911,168
US5912,1005
US5922,187
US5924,47
US5926,48
US5927,8
US5931,452
US5932,2923
US5933,5
US5937,2319
US5948,168
US5951,2759
US5952,66
US5959,15
US5960,49
US5963,129
US5967,19
US5969,528
US5974,80
US5975,20
US5979,251
US5981,95
US5987,306
US5988,75
US5989,27
US5993,472
US5998,4
US6000,10
US6003,15
US6013,16
US6015,579
US6017,68
US6022,11
US6023,53
US6026,195
US6039,29
US6046,16
US6052,627
US6054,137
US6057,194
US6058,24
US6060,179
US6061,11
US6065,157
US6066,281
US6071,278
US6072,181
US6075,130
US6077,3
US6085,134
US6086,542
US6090,103
US6092,42
US6095,433
US6099,218
US6100,501
US6109,58
US6115,256
US6122,142
US6123,30
US6124,13
US6126,15
US6127,47
US6143,1123
US6144,13
US6157,243
US6161,218
US6162,843
US6170,48
US6176,227
US6177,77
US6178,268
US6179,157
US6180,1625
US6181,30
US6184,233
US6186,116
US6189,35
US6190,33
US6192,327
US6200,436
US6203,21
US6213,277
US6215,222
US6219,72
US6220,478
US6221,9
US6230,46
US6234,82
US6237,83
US6239,10
US6240,81
US6244,260
US6246,11
US6247,104
US6250,473
US6252,32
US6261,110
US6262,57
US6269,167
US6271,922
US6272,408
US6280,484
US6281,501
US6282,40
US6288,326
US6289,132
US6290,184
US6292,225
US6296,61
US6297,85
US6299,194
US6300,13
US6305,48
US6308,16
US6310,7
US6313,69
US6314,43
US6316,386
US6317,1017
US6318,51
US6319,13
US6320,655
US6322,666
US6328,70
US6331,59
US6332,10
US6334,188
US6336,13
US6337,122
US6338,306
US6339,221
US6340,13
US6342,66
US6343,24
US6344,339
US6350,326
US6351,488
US6355,25
US6357,176
US6358,41
US6360,23
US6364,89
US6371,26
US6372,275
US6373,200
US6381,31
US6385,91
US6388,135
US6389,1961
US6390,200
US6391,119
US6392,81
US6394,95
US6395,128
US6399,215
US6400,365
US6402,149
US6416,547
US6417,99
US6421,139
US6430,138
US6433,3
US6434,223
